time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
15594, -0.14, 0.04, -0.40, -0.08, -0.01, -0.62
15646, 0.07, 0.05, -1.01, -0.05, 0.01, -0.70
15693, 0.09, 0.02, -1.39, -0.02, 0.01, -0.84
15740, 0.05, -0.12, -1.46, -0.01, -0.02, -0.96
15787, 0.01, -0.04, -1.55, -0.01, -0.02, -1.08
15834, -0.09, -0.05, -1.39, -0.02, -0.03, -1.14
15881, -0.06, -0.10, -1.58, -0.03, -0.04, -1.23
15928, 0.02, -0.06, -1.73, -0.02, -0.05, -1.33
15975, 0.08, -0.10, -1.83, -0.00, -0.06, -1.43
16022, 0.10, -0.12, -1.38, 0.02, -0.07, -1.42
16071, -0.09, -0.11, -0.70, -0.00, -0.08, -1.28
16118, -0.12, -0.02, -0.63, -0.03, -0.07, -1.15
16170, -0.17, 0.02, -0.29, -0.06, -0.05, -0.98
16217, -0.13, 0.03, -0.28, -0.07, -0.03, -0.84
16264, -0.07, 0.04, -0.33, -0.07, -0.02, -0.74
16311, -0.09, 0.03, -0.62, -0.07, -0.01, -0.71
16358, 0.03, 0.01, -0.90, -0.05, -0.01, -0.75
16405, 0.08, 0.00, -1.15, -0.03, -0.00, -0.83
16452, 0.03, -0.03, -1.41, -0.02, -0.01, -0.95
16499, 0.10, 0.00, -1.55, 0.01, -0.01, -1.07
16546, 0.13, -0.08, -1.84, 0.03, -0.02, -1.22
16593, 0.18, -0.04, -1.70, 0.06, -0.03, -1.32
16640, 0.10, -0.06, -1.56, 0.07, -0.03, -1.37
16692, 0.09, -0.11, -1.54, 0.07, -0.05, -1.40
16739, 0.12, -0.11, -1.32, 0.08, -0.06, -1.39
16786, 0.04, -0.04, -0.85, 0.07, -0.06, -1.28
16833, -0.06, 0.04, -0.53, 0.05, -0.04, -1.13
16880, -0.19, 0.06, -0.31, -0.00, -0.02, -0.96
16927, -0.18, 0.05, -0.28, -0.04, -0.00, -0.83
16974, -0.12, 0.04, -0.26, -0.05, 0.01, -0.72
17021, -0.09, 0.02, -0.47, -0.06, 0.01, -0.67
17068, 0.09, 0.00, -1.04, -0.03, 0.01, -0.74
17115, 0.21, -0.15, -1.31, 0.02, -0.02, -0.85
17162, 0.19, -0.18, -1.42, 0.05, -0.06, -0.97
17214, 0.10, -0.08, -1.46, 0.06, -0.06, -1.07
17261, 0.06, -0.06, -1.43, 0.06, -0.06, -1.14
17308, 0.10, -0.03, -1.32, 0.07, -0.05, -1.18
17356, 0.09, -0.04, -1.11, 0.07, -0.05, -1.16
17403, 0.05, -0.05, -1.03, 0.07, -0.05, -1.14
17450, 0.03, -0.03, -1.02, 0.06, -0.05, -1.11
17497, 0.01, -0.05, -1.01, 0.05, -0.05, -1.09
17544, -0.07, -0.06, -1.07, 0.03, -0.05, -1.09
17591, -0.14, -0.02, -1.09, -0.01, -0.04, -1.09
17638, -0.22, -0.02, -1.10, -0.05, -0.04, -1.09
17690, -0.15, 0.05, -1.09, -0.07, -0.02, -1.09
17737, 0.06, 0.03, -1.15, -0.04, -0.01, -1.10
17784, 0.06, 0.07, -1.04, -0.02, 0.00, -1.09
17831, 0.24, 0.06, -0.93, 0.03, 0.02, -1.06
17878, 0.44, 0.07, -0.99, 0.11, 0.03, -1.05
17925, 0.56, 0.01, -1.03, 0.20, 0.02, -1.04
17972, 0.50, 0.10, -0.97, 0.26, 0.04, -1.03
18019, 0.31, 0.05, -1.00, 0.27, 0.04, -1.02
18066, 0.21, 0.00, -1.02, 0.26, 0.03, -1.02
18113, 0.13, -0.05, -1.08, 0.23, 0.02, -1.04
18159, -0.08, 0.01, -1.04, 0.17, 0.02, -1.04
18206, -0.08, -0.07, -1.01, 0.12, -0.00, -1.03
18258, -0.11, -0.02, -0.89, 0.07, -0.01, -1.00
18305, -0.35, -0.05, -1.17, -0.01, -0.01, -1.04
18352, -0.36, -0.02, -1.32, -0.08, -0.02, -1.09
18399, -0.41, 0.06, -1.27, -0.15, -0.00, -1.13
18446, -0.28, 0.13, -1.04, -0.17, 0.03, -1.11
18493, -0.20, 0.04, -1.04, -0.18, 0.03, -1.10
18540, -0.03, 0.09, -1.10, -0.15, 0.04, -1.10
18587, 0.07, 0.05, -0.97, -0.10, 0.04, -1.07
18634, 0.07, 0.07, -0.99, -0.07, 0.05, -1.06
18683, 0.38, 0.11, -1.06, 0.02, 0.06, -1.06
18735, 0.59, 0.14, -1.00, 0.13, 0.08, -1.04
18782, 0.60, 0.14, -1.04, 0.23, 0.09, -1.04
18829, 0.44, 0.06, -1.01, 0.27, 0.08, -1.04
18876, 0.25, 0.02, -1.06, 0.27, 0.07, -1.04
18923, 0.06, -0.03, -1.03, 0.23, 0.05, -1.04
18970, -0.05, 0.05, -0.95, 0.17, 0.05, -1.02
19017, -0.19, 0.06, -0.91, 0.10, 0.05, -1.00
19064, -0.24, -0.09, -1.06, 0.03, 0.02, -1.01
19111, -0.38, -0.04, -1.13, -0.05, 0.01, -1.04
19158, -0.42, -0.02, -1.17, -0.12, 0.01, -1.06
19205, -0.49, 0.03, -1.23, -0.20, 0.01, -1.10
19257, -0.33, -0.01, -1.08, -0.23, 0.00, -1.09
19304, -0.15, 0.01, -1.10, -0.21, 0.01, -1.09
19351, -0.05, -0.03, -1.15, -0.18, -0.00, -1.11
19398, 0.07, 0.14, -0.87, -0.13, 0.03, -1.06
19445, 0.04, 0.04, -0.88, -0.10, 0.03, -1.02
19492, 0.33, 0.11, -0.97, -0.01, 0.04, -1.01
19539, 0.39, 0.08, -1.06, 0.07, 0.05, -1.02
19586, 0.54, 0.09, -1.23, 0.16, 0.06, -1.06
19633, 0.46, 0.07, -1.12, 0.22, 0.06, -1.07
19680, 0.30, 0.04, -1.05, 0.24, 0.06, -1.07
19727, 0.15, 0.01, -1.03, 0.22, 0.05, -1.06
19774, -0.09, -0.01, -1.02, 0.16, 0.04, -1.05
19826, -0.15, -0.02, -0.98, 0.10, 0.02, -1.04
19873, -0.21, -0.04, -1.03, 0.04, 0.01, -1.04
19920, -0.49, 0.02, -1.03, -0.07, 0.01, -1.04
19968, -0.48, 0.02, -1.03, -0.15, 0.01, -1.03
20015, -0.61, 0.02, -1.21, -0.24, 0.02, -1.07
20062, -0.54, -0.01, -1.15, -0.30, 0.01, -1.09
20109, -0.37, 0.02, -1.05, -0.32, 0.01, -1.08
